longitude,latitude,name,markerinnerhtml
4.317316,45.591891,Epi'tete,<p><b>Epi'tete</b></p><p><a class='button' target='_blank' href='https://www.google.com/maps/?q=Epi%27tete 30+RUE+PAUL+DOUMER+SAINT-GALMIER'>Voir la devanture via Google Maps</a></p>
4.766819,49.762046,Crea'tif Coiffure,<p><b>Crea'tif Coiffure</b></p><p><a class='button' target='_blank' href='https://www.google.com/maps/?q=Crea%27tif+Coiffure 21+RUE+DU+CHEMIN+VERT+SAINT-LAURENT'>Voir la devanture via Google Maps</a></p>
5.255463,45.586159,L'art De Pl'hair,<p><b>L'art De Pl'hair</b></p><p><a class='button' target='_blank' href='https://www.google.com/maps/?q=L%27art+De+Pl%27hair 112+RTE+DE+LYON+DOMARIN'>Voir la devanture via Google Maps</a></p>
5.345025,45.061051,Chez Anne Cl Hair,<p><b>Chez Anne Cl Hair</b></p><p><a class='button' target='_blank' href='https://www.google.com/maps/?q=Chez+Anne+Cl+Hair 46+GRANDE+RUE+PONT-EN-ROYANS'>Voir la devanture via Google Maps</a></p>
4.131573,49.197436,Caract'hair,<p><b>Caract'hair</b></p><p><a class='button' target='_blank' href='https://www.google.com/maps/?q=Caract%27hair 2+RUE+DE+TAISSY+SILLERY'>Voir la devanture via Google Maps</a></p>
-4.657063,48.541076,Sarl Bulle D'hair,<p><b>Sarl Bulle D'hair</b></p><p><a class='button' target='_blank' href='https://www.google.com/maps/?q=Sarl+Bulle+D%27hair 1+RUE+DU+DOCTEUR+RIOU+PLOUDALMEZEAU'>Voir la devanture via Google Maps</a></p>
-1.740903,46.748254,Perfect'tifs,<p><b>Perfect'tifs</b></p><p><a class='button' target='_blank' href='https://www.google.com/maps/?q=Perfect%27tifs 12+RUE+GEORGES+CLEMENCEAU+APREMONT'>Voir la devanture via Google Maps</a></p>
0.258987,44.836744,Hair Libr Coiffure,<p><b>Hair Libr Coiffure</b></p><p><a class='button' target='_blank' href='https://www.google.com/maps/?q=Hair+Libr+Coiffure 107+CHE+DU+PAS+DES+OUAILLES+SAINT-AVIT-SAINT-NAZAIRE'>Voir la devanture via Google Maps</a></p>
3.485005,50.324579,Design'hair,<p><b>Design'hair</b></p><p><a class='button' target='_blank' href='https://www.google.com/maps/?q=Design%27hair 2+RUE+HENRI+DURRE+TRITH-SAINT-LEGER'>Voir la devanture via Google Maps</a></p>
6.770966,47.383259,N'hair J Coiffure,<p><b>N'hair J Coiffure</b></p><p><a class='button' target='_blank' href='https://www.google.com/maps/?q=N%27hair+J+Coiffure 6+RUE+FIERECK+PONT-DE-ROIDE-VERMONDANS'>Voir la devanture via Google Maps</a></p>
3.395561,46.23483,De Meches Avec Vous,<p><b>De Meches Avec Vous</b></p><p><a class='button' target='_blank' href='https://www.google.com/maps/?q=De+Meches+Avec+Vous 90+RTE+DE+SAINT+POURCAIN+SUR+SIOULE+MARCENAT'>Voir la devanture via Google Maps</a></p>
0.216576,49.503057,Infini'tif,<p><b>Infini'tif</b></p><p><a class='button' target='_blank' href='https://www.google.com/maps/?q=Infini%27tif 51+RTE+D+ORCHER+GONFREVILLE+L%27ORCHER'>Voir la devanture via Google Maps</a></p>
4.896098,43.989463,Hair Design,<p><b>Hair Design</b></p><p><a class='button' target='_blank' href='https://www.google.com/maps/?q=Hair+Design AV+LOUIS+LEPINE+SORGUES'>Voir la devanture via Google Maps</a></p>
1.057366,48.757898,Ac'tif,<p><b>Ac'tif</b></p><p><a class='button' target='_blank' href='https://www.google.com/maps/?q=Ac%27tif 14+RUE+DE+PARIS+TILLIERES-SUR-AVRE'>Voir la devanture via Google Maps</a></p>
2.595428,50.528991,Revolution'hair,<p><b>Revolution'hair</b></p><p><a class='button' target='_blank' href='https://www.google.com/maps/?q=Revolution%27hair 3+RUE+DE+LABEUVRIERE+FOUQUEREUIL'>Voir la devanture via Google Maps</a></p>
-61.457837,16.333151,Jad'hair,<p><b>Jad'hair</b></p><p><a class='button' target='_blank' href='https://www.google.com/maps/?q=Jad%27hair 30+RUE+DU+DEBARCADERE+MORNE+A+L%27EAU'>Voir la devanture via Google Maps</a></p>
2.16768,49.061151,L Posi Tif Sas,<p><b>L Posi Tif Sas</b></p><p><a class='button' target='_blank' href='https://www.google.com/maps/?q=L+Posi+Tif+Sas RUE+DES+ROCHES+MERY-SUR-OISE'>Voir la devanture via Google Maps</a></p>
5.494746,47.999626,Evolu'tif,<p><b>Evolu'tif</b></p><p><a class='button' target='_blank' href='https://www.google.com/maps/?q=Evolu%27tif 12+PL+CHARLES+CORNEVIN+VAL-DE-MEUSE'>Voir la devanture via Google Maps</a></p>
9.060596,41.484826,L'hair Du Temps,<p><b>L'hair Du Temps</b></p><p><a class='button' target='_blank' href='https://www.google.com/maps/?q=L%27hair+Du+Temps PIANOTTOLI-CALDARELLO'>Voir la devanture via Google Maps</a></p>
5.992683,45.531839,Crea'tif Coiffure,<p><b>Crea'tif Coiffure</b></p><p><a class='button' target='_blank' href='https://www.google.com/maps/?q=Crea%27tif+Coiffure 735+RN+6+SAINT-JEOIRE-PRIEURE'>Voir la devanture via Google Maps</a></p>
1.29224,45.880388,Quatre Cent Coupes,<p><b>Quatre Cent Coupes</b></p><p><a class='button' target='_blank' href='https://www.google.com/maps/?q=Quatre+Cent+Coupes PL+DE+BEAUBREUIL+LIMOGES'>Voir la devanture via Google Maps</a></p>
2.070075,48.704649,Epitete,<p><b>Epitete</b></p><p><a class='button' target='_blank' href='https://www.google.com/maps/?q=Epitete 5+RUE+PIERRE+CHESNEAU+SAINT-REMY-LES-CHEVREUSE'>Voir la devanture via Google Maps</a></p>
2.413196,47.80796,L'hair Coiff,<p><b>L'hair Coiff</b></p><p><a class='button' target='_blank' href='https://www.google.com/maps/?q=L%27hair+Coiff 24+RTE+DE+GIEN+LES+BORDES'>Voir la devanture via Google Maps</a></p>
2.510335,48.883462,Humanit'hair,<p><b>Humanit'hair</b></p><p><a class='button' target='_blank' href='https://www.google.com/maps/?q=Humanit%27hair 17+RUE+DE+LA+PROCESSION+VILLEMOMBLE'>Voir la devanture via Google Maps</a></p>
5.811045,46.414146,La Pause Coiffee,<p><b>La Pause Coiffee</b></p><p><a class='button' target='_blank' href='https://www.google.com/maps/?q=La+Pause+Coiffee 20+GRANDE+RUE+COTEAUX+DU+LIZON'>Voir la devanture via Google Maps</a></p>
3.623195,49.550657,Imagina'tiff,<p><b>Imagina'tiff</b></p><p><a class='button' target='_blank' href='https://www.google.com/maps/?q=Imagina%27tiff 11+RUE+DE+LA+MONTINETTE+LAON'>Voir la devanture via Google Maps</a></p>
2.584072,50.497302,Nouvel Hair,<p><b>Nouvel Hair</b></p><p><a class='button' target='_blank' href='https://www.google.com/maps/?q=Nouvel+Hair 459+RUE+JEAN+JOSEPH+ETIENNE+LENOIR+BRUAY-LA-BUISSIERE'>Voir la devanture via Google Maps</a></p>
6.466286,43.538339,Infini Tifs,<p><b>Infini Tifs</b></p><p><a class='button' target='_blank' href='https://www.google.com/maps/?q=Infini+Tifs 8+RUE+DE+TRANS+DRAGUIGNAN'>Voir la devanture via Google Maps</a></p>
-0.956878,44.328084,Instant Capil'hair,<p><b>Instant Capil'hair</b></p><p><a class='button' target='_blank' href='https://www.google.com/maps/?q=Instant+Capil%27hair 24+RUE+FELIX+ARNAUDIN+YCHOUX'>Voir la devanture via Google Maps</a></p>
1.453256,43.605362,Revolucion Hair Design,<p><b>Revolucion Hair Design</b></p><p><a class='button' target='_blank' href='https://www.google.com/maps/?q=Revolucion+Hair+Design 16+RUE+MAURY+TOULOUSE'>Voir la devanture via Google Maps</a></p>
5.483609,45.298457,Sasu Cap'tiff,<p><b>Sasu Cap'tiff</b></p><p><a class='button' target='_blank' href='https://www.google.com/maps/?q=Sasu+Cap%27tiff 57+RUE+GEN+DE+GAULLE+TULLINS'>Voir la devanture via Google Maps</a></p>
-1.471019,49.013683,Nouvel'hair,<p><b>Nouvel'hair</b></p><p><a class='button' target='_blank' href='https://www.google.com/maps/?q=Nouvel%27hair 15+RUE+DE+L+EGLISE+ORVAL+SUR+SIENNE'>Voir la devanture via Google Maps</a></p>
6.652344,49.115934,Addictif' Coiffure,<p><b>Addictif' Coiffure</b></p><p><a class='button' target='_blank' href='https://www.google.com/maps/?q=Addictif%27+Coiffure 2+RUE+DE+LA+VIENNE+LONGEVILLE-LES-SAINT-AVOLD'>Voir la devanture via Google Maps</a></p>
2.394059,48.837627,Coeurly Care,<p><b>Coeurly Care</b></p><p><a class='button' target='_blank' href='https://www.google.com/maps/?q=Coeurly+Care 25+RUE+DE+LA+BRECHE+AUX+LOUPS+PARIS+12'>Voir la devanture via Google Maps</a></p>
-0.536276,44.855863,Sur Un Hair De Make Up,<p><b>Sur Un Hair De Make Up</b></p><p><a class='button' target='_blank' href='https://www.google.com/maps/?q=Sur+Un+Hair+De+Make+Up 3+RUE+JULES+GUESDE+CENON'>Voir la devanture via Google Maps</a></p>
